artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
FINNEAS,Let's Fall in Love for the Night,MelodicWanderer,True,190348,69,0.737,-7.941,127.918,0.802,0.408,0.374,0.171,0.104,"['alt z', 'la indie', 'pop', 'pov: indie']",2019
Ghostly Kisses,The City Holds My Heart,MelodicWanderer,False,242813,49,0.584,-11.928,117.965,0.648,0.507,0.16,0.179,0.0378,[],2018
Ghostly Kisses,Where Do Lovers Go?,MelodicWanderer,False,233986,45,0.573,-11.009,119.922,0.913,0.208,0.138,0.155,0.032,[],2020
Ghostly Kisses,Empty Note,MelodicWanderer,False,228363,44,0.608,-14.838,165.009,0.887,0.331,0.356,0.0902,0.122,[],2017
AURORA,Runaway,MelodicWanderer,False,248826,74,0.422,-9.214,114.089,0.629,0.302,0.123,0.104,0.0372,"['art pop', 'norwegian pop']",2016
Sarah Barrios,Have We Met Before (with Eric Nam),MelodicWanderer,False,158174,49,0.434,-10.302,167.412,0.856,0.271,0.367,0.109,0.0353,['alt z'],2021
Billie Eilish,BLUE,MelodicWanderer,False,343120,83,0.349,-10.671,142.01,0.29,0.337,0.0365,0.139,0.0407,"['art pop', 'pop']",2024
SYML,Where's My Love - Acoustic,MelodicWanderer,False,239880,72,0.554,-11.324,104.007,0.892,0.225,0.221,0.107,0.0281,['modern indie pop'],2017
SYML,Fear of the Water,MelodicWanderer,False,245813,60,0.46,-17.635,93.031,0.954,0.208,0.151,0.118,0.0302,['modern indie pop'],2016
SYML,Girl,MelodicWanderer,False,212920,55,0.377,-11.755,110.013,0.714,0.334,0.22,0.115,0.0292,['modern indie pop'],2019
Joy Oladokun,look up,MelodicWanderer,False,213933,12,0.365,-9.749,86.819,0.795,0.311,0.225,0.141,0.03,"['black americana', 'la pop']",2021
Niall Horan,This Town,MelodicWanderer,False,232852,78,0.677,-8.467,111.825,0.712,0.401,0.195,0.116,0.0308,['pop'],2017
Kygo,This Town (feat. Sasha Alex Sloan),MelodicWanderer,False,202280,56,0.736,-7.956,147.971,0.506,0.449,0.487,0.117,0.0633,"['edm', 'pop', 'pop dance', 'tropical house']",2017
Sasha Alex Sloan,I Blame The World,MelodicWanderer,False,197266,41,0.579,-6.4,165.057,0.00979,0.783,0.69,0.116,0.0453,['alt z'],2022
Sasha Alex Sloan,Older,MelodicWanderer,False,191001,70,0.681,-9.599,64.002,0.743,0.292,0.162,0.0974,0.0483,['alt z'],2018
Cooza,I Can See New Zealand From Here,MelodicWanderer,False,123374,29,0.579,-16.025,134.66,0.971,0.0434,0.217,0.105,0.0422,[],2020
Imagine Dragons,Dream,MelodicWanderer,False,258000,57,0.379,-7.724,142.067,0.643,0.513,0.108,0.069,0.0492,"['modern rock', 'pop', 'rock']",2015
SYML,Mr. Sandman,MelodicWanderer,False,206493,60,0.341,-10.661,96.677,0.918,0.37,0.0417,0.074,0.0393,['modern indie pop'],2017
Birdy,Ghost in the Wind,MelodicWanderer,False,270486,37,0.456,-13.529,118.272,0.966,0.107,0.169,0.122,0.0506,"['neo mellow', 'uk pop', 'viral pop']",2022
Tamino,Only Our Love,MelodicWanderer,False,230381,36,0.607,-13.904,99.388,0.93,0.105,0.245,0.25,0.0307,['belgian indie'],2022
Tamino,Sunflower,MelodicWanderer,False,263653,49,0.481,-11.137,115.984,0.673,0.283,0.0901,0.219,0.0271,['belgian indie'],2022
Isak Danielson,Fire Burns You Cold,MelodicWanderer,False,214293,28,0.575,-7.797,114.997,0.242,0.547,0.252,0.178,0.0321,['swedish singer-songwriter'],2022
Sting,Shape Of My Heart,MelodicWanderer,False,279226,72,0.537,-10.08,83.94,0.693,0.372,0.244,0.083,0.0331,"['permanent wave', 'soft rock', 'sophisti-pop']",1993
Nouvelle Vague,In a Manner of Speaking,MelodicWanderer,False,238000,64,0.805,-12.664,119.98,0.755,0.337,0.643,0.11,0.0363,"['lounge', 'nu jazz']",2004
"Grover Washington, Jr.",Just the Two of Us (feat. Bill Withers),MelodicWanderer,False,438493,73,0.749,-12.609,95.818,0.41,0.497,0.585,0.0504,0.105,['soul jazz'],1985
Julio Iglesias,Nathalie,MelodicWanderer,False,235440,40,0.365,-13.728,108.795,0.671,0.267,0.29,0.228,0.0301,['latin pop'],1982
Engelbert Humperdinck,How Do I Stop Loving You,MelodicWanderer,False,289000,15,0.2,-15.086,73.612,0.771,0.212,0.105,0.13,0.0335,"['adult standards', 'easy listening']",2011
The Moody Blues,Melancholy Man,MelodicWanderer,False,345346,48,0.385,-11.544,132.454,0.722,0.434,0.388,0.192,0.0313,"['album rock', 'art rock', 'british invasion', 'classic rock', 'country rock']",1970
Laura Marling,What He Wrote,MelodicWanderer,False,247123,54,0.458,-16.021,139.987,0.948,0.0987,0.349,0.109,0.0376,"['british folk', 'british singer-songwriter', 'chamber pop', 'singer-songwriter']",2010
Billy Joel,She's Always a Woman,MelodicWanderer,False,201373,75,0.292,-11.996,176.631,0.797,0.324,0.384,0.12,0.0346,"['album rock', 'classic rock', 'mellow gold', 'piano rock', 'rock']",1977
Isak Danielson,She's Always a Woman,MelodicWanderer,False,200638,29,0.564,-13.262,95.719,0.907,0.152,0.313,0.149,0.071,['swedish singer-songwriter'],2018
Gary Moore,Love Can Make A Fool Of You,MelodicWanderer,False,383480,23,0.301,-5.597,142.7,0.0213,0.458,0.229,0.255,0.0308,"['blues rock', 'british blues', 'electric blues']",2021
Damien Rice,It Takes a Lot to Know a Man,MelodicWanderer,False,572775,28,0.197,-10.681,75.1,0.606,0.499,0.0474,0.0894,0.0536,"['acoustic pop', 'irish rock', 'irish singer-songwriter', 'neo mellow', 'singer-songwriter']",2014
The Irrepressibles,The Most Beautiful Boy - Felsmann + Tiley Reinterpretation,MelodicWanderer,False,183803,50,0.394,-8.499,123.714,0.278,0.309,0.0608,0.603,0.0318,['baroque pop'],2021
Shawn Mendes,It'll Be Okay,MelodicWanderer,False,222800,69,0.398,-11.881,78.262,0.616,0.286,0.0666,0.0912,0.033,"['canadian pop', 'pop', 'viral pop']",2021
Evanescence,Hello,MelodicWanderer,False,220360,55,0.416,-11.428,139.969,0.912,0.178,0.0699,0.342,0.031,['alternative metal'],2003
