artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
Jimi Hendrix,Voodoo Child (Slight Return),Spotify,False,313373,64,0.214,-6.662,175.549,0.477,0.91,0.448,0.0517,0.389,"['acid rock', 'album rock', 'alternative rock', 'classic rock', 'hard rock']",1960
Sam & Dave,Soul Man,Spotify,False,159000,64,0.79,-13.241,112.345,0.263,0.41,0.815,0.174,0.0343,"['classic soul', 'memphis soul', 'soul', 'southern soul']",1960
Etta James,I Just Want To Make Love To You - Single Version,Spotify,False,185626,63,0.642,-8.579,101.635,0.772,0.523,0.654,0.527,0.11,"['jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",1960
Dean Martin,You're Nobody 'Til Somebody Loves You - Remastered/1997,Spotify,False,133933,63,0.503,-16.651,63.684,0.776,0.182,0.652,0.178,0.0323,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",1960
The Temptations,Ain't Too Proud To Beg,Spotify,False,156173,63,0.763,-6.86,118.397,0.552,0.655,0.925,0.125,0.0417,"['classic soul', 'disco', 'memphis soul', 'motown', 'soul']",1960
Bob Dylan,The Times They Are A-Changin',Spotify,False,192053,63,0.389,-7.999,171.86,0.887,0.396,0.585,0.0828,0.0332,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock']",1960
The Velvet Underground,Sunday Morning,Spotify,False,175893,63,0.506,-13.268,105.833,0.0869,0.442,0.532,0.0846,0.0276,"['alternative rock', 'melancholia', 'permanent wave', 'protopunk', 'rock']",1960
Roy Orbison,Only the Lonely,Spotify,False,145533,63,0.57,-10.769,123.273,0.377,0.529,0.934,0.203,0.028,"['adult standards', 'classic rock', 'folk rock', 'mellow gold', 'rock-and-roll']",1960
Simon & Garfunkel,Homeward Bound,Spotify,False,149613,62,0.485,-11.773,92.928,0.831,0.378,0.528,0.103,0.0337,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold']",1960
Del Shannon,Runaway,Spotify,False,137306,62,0.594,-7.993,78.552,0.153,0.533,0.729,0.172,0.0438,"['doo-wop', 'rock-and-roll', 'rockabilly']",1960
The Rolling Stones,Ruby Tuesday,Spotify,False,196493,62,0.524,-10.767,104.578,0.831,0.553,0.517,0.174,0.0292,"['album rock', 'british invasion', 'classic rock', 'rock']",1960
Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,Spotify,False,178506,62,0.525,-11.725,112.554,0.538,0.52,0.523,0.111,0.0271,[],1960
The Drifters,Save the Last Dance for Me,Spotify,False,154960,62,0.54,-10.583,143.453,0.614,0.53,0.896,0.198,0.0361,"['adult standards', 'classic soul', 'doo-wop', 'rock-and-roll', 'rockabilly']",1960
Tom Jones,Green Green Grass Of Home,Spotify,False,184893,62,0.543,-13.253,95.363,0.157,0.41,0.817,0.0996,0.0268,"['adult standards', 'british invasion']",1960
Wilson Pickett,Land of 1000 Dances,Spotify,False,146973,61,0.618,-11.624,86.903,0.0128,0.588,0.768,0.351,0.0735,"['classic soul', 'memphis soul', 'soul', 'southern soul']",1960
Neil Diamond,"Girl, You'll Be A Woman Soon",Spotify,False,180253,61,0.515,-5.573,109.559,0.567,0.641,0.655,0.321,0.0272,"['adult standards', 'brill building pop', 'folk rock', 'mellow gold', 'singer-songwriter']",1960
Sly & The Family Stone,Everyday People,Spotify,False,141506,61,0.807,-10.656,114.524,0.307,0.497,0.765,0.043,0.0297,"['classic soul', 'funk', 'funk rock', 'p funk', 'psychedelic soul']",1960
Sam Cooke,(What A) Wonderful World,Spotify,False,125440,61,0.691,-10.23,128.518,0.627,0.507,0.885,0.457,0.0343,"['classic soul', 'soul', 'vocal jazz']",2000
The Lovin' Spoonful,Summer in the City - Remastered,Spotify,False,160306,61,0.423,-9.756,110.461,0.0592,0.681,0.56,0.0889,0.0398,"['bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock']",1960
Leonard Cohen,Suzanne,Spotify,False,229293,61,0.409,-16.44,132.151,0.922,0.172,0.352,0.111,0.0389,"['canadian singer-songwriter', 'melancholia', 'permanent wave', 'singer-songwriter']",1960
The Who,My Generation - Stereo Version,Spotify,False,198706,61,0.412,-9.186,96.732,0.308,0.782,0.705,0.0775,0.058,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'rock']",1960
The Byrds,Turn! Turn! Turn! (To Everything There Is a Season),Spotify,False,229360,61,0.451,-8.124,124.532,0.135,0.818,0.755,0.052,0.0439,"['album rock', 'beatlesque', 'classic rock', 'cosmic american', 'country rock']",1960
Tom Jones,Delilah,Spotify,False,204160,61,0.528,-10.939,95.82,0.609,0.482,0.788,0.549,0.027,"['adult standards', 'british invasion']",1960
Led Zeppelin,Heartbreaker - 1990 Remaster,Spotify,False,254133,61,0.403,-9.366,97.161,0.0746,0.709,0.654,0.132,0.0885,"['album rock', 'classic rock', 'hard rock', 'rock']",1960
The Kingsmen,Louie Louie,Spotify,False,165381,61,0.623,-9.818,122.394,0.102,0.709,0.948,0.0967,0.0636,['classic garage rock'],2000
Santana,Black Magic Woman,Spotify,False,195866,60,0.497,-7.102,124.359,0.679,0.552,0.633,0.089,0.0307,"['blues rock', 'classic rock', 'mexican classic rock']",2000
Sam Cooke,Bring It On Home to Me,Spotify,False,162533,60,0.523,-8.233,70.863,0.778,0.402,0.675,0.432,0.0305,"['classic soul', 'soul', 'vocal jazz']",2000
Creedence Clearwater Revival,I Put A Spell On You,Spotify,False,271786,60,0.391,-8.188,100.354,0.00471,0.732,0.622,0.0979,0.0295,"['album rock', 'classic rock', 'country rock', 'mellow gold', 'rock']",1960
Marlena Shaw,California Soul,Spotify,False,177226,60,0.513,-8.407,94.582,0.555,0.826,0.539,0.366,0.0574,['classic soul'],1960
Bruce Channel,Hey! Baby - Remastered,Spotify,False,143627,60,0.515,-5.597,64.253,0.359,0.623,0.643,0.274,0.036,['rock-and-roll'],2010
Bob Dylan,"Lay, Lady, Lay",Spotify,False,197093,60,0.52,-21.976,155.746,0.356,0.179,0.407,0.131,0.0454,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock']",1960
Dean Martin,Sway (Quien Sera),Spotify,False,162960,60,0.601,-12.175,120.036,0.727,0.239,0.569,0.0748,0.0384,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",1960
Frankie Valli & The Four Seasons,Big Girls Don't Cry,Spotify,False,148013,60,0.764,-5.023,130.276,0.393,0.84,0.843,0.0686,0.0672,"['adult standards', 'bubblegum pop', 'doo-wop', 'lounge', 'northern soul']",1960
Smokey Robinson & The Miracles,The Tracks Of My Tears,Spotify,False,174360,60,0.502,-10.914,96.982,0.699,0.333,0.729,0.222,0.0264,"['classic soul', 'motown', 'quiet storm', 'soul']",1960
The Jackson 5,Who's Lovin' You,Spotify,False,235640,59,0.247,-13.16,161.924,0.651,0.307,0.399,0.281,0.0374,"['motown', 'soul']",1960
Wilson Pickett,In the Midnight Hour,Spotify,False,157160,59,0.75,-8.63,111.919,0.12,0.444,0.849,0.118,0.0403,"['classic soul', 'memphis soul', 'soul', 'southern soul']",1960
Cream,Sunshine Of Your Love,Spotify,False,250000,59,0.684,-12.59,115.078,0.475,0.481,0.784,0.118,0.0384,"['album rock', 'blues rock', 'british blues', 'classic rock', 'folk rock']",1960
